123-1CON	123-2CON	123-3NO0	123-4NO7	126-1CON	126-2CON	126-3NO0	126-4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
4.67515	-0.499187	8.93186	5.50598	5.38243	13.116	-1.3	5.42603	16.9456	9.50019	5.24488	3.25626
4.19365	20.4743	18.2337	15.363	-10.5651	13.4814	16.6203	10.7184	26.597	24.2042	99.1356	27.4102
85.4568	114.22	112.57	101.436	90.8694	117.757	111.926	137.659	114.47	102.678	69.9694	110.581
42.2819	34.7403	33.7427	31.1801	20.7176	45.1468	24.0523	37.2023	61.2972	22.7783	32.1083	33.6155
46.5944	62.5248	47.7736	39.5471	31.8587	7.11069	57.0279	43.6034	54.6909	64.042	52.5468	61.8758
89.3544	90.1962	91.3631	116.299	132.43	114.737	89.57	180.498	162.835	127.387	170.03	94.4966
47.1991	350.346	392.648	476.743	482.934	304.764	728.17	276.016	290.399	192.385	295.901	441.543
27.1518	51.2845	386.135	4482.64	152.264	56.2051	756.469	61.8208	43.4733	56.3969	25.3691	41.6335
25.2705	54.4319	212.097	799.071	184.059	22.0626	174.946	42.1796	26.7189	44.95	27.9253	51.1847
33.719	114.35	209.632	340.702	463.927	480.144	813.247	418.815	223.652	72.0082	142.942	153.522
54.0271	140.647	93.2014	102.437	416.262	330.864	370.516	159.282	110.194	94.0831	67.5471	105.776
2.22056	7.42668	28.6753	33.1264	110.798	35.8652	195.306	4.07519	2.13968	5.33676	0.415187	4.57359
1821.73	1892.96	1937.67	1432.41	1115.92	1381.83	1207.92	962.026	1890.39	1920.09	1736.34	1905.34
3935	3965.56	3441.07	3958.93	2731.45	3185	2651.34	2233.83	4389.65	3960.31	4551.28	3805.04
4751.13	5585.68	6258.42	6800.91	6228.59	6930.13	6103.7	5760.59	6885.93	5996.27	7207.37	5422.99
7662.17	8542.24	9770.5	10015.8	9325.56	9496.79	8844.69	7286.62	10414.1	9805.7	10464.4	10332.2
7353.1	7024.5	7248.09	5606.11	6129.28	5924.73	6621.76	6294.87	5271.32	5405.29	5007.49	4975.14
2860.66	2694.56	3088.06	3015.02	2889.45	2607.17	3030.88	3073.59	2705.27	3491.45	3161.66	2875.87
3215.36	4304.52	4245.75	4951.32	4669.45	5006.98	4426.69	4753.93	5497.62	5268.07	5497.36	4134.78
5248.01	4930.44	5114.58	5260.98	6606.26	5986.78	6650.52	6058.94	4947.7	4541.59	5319.98	4777.22
1940.75	2423.33	2280.49	2180.73	1920.35	2170.48	2081.76	1718.71	1892.98	1549.87	1815.5	2364.55
